k,train_accuracy,test_accuracy
2,0.8021892103205629,0.590625
3,0.7732603596559813 , 0.5875
4,0.7240031274433151 , 0.575
5,0.7028928850664582 , 0.578125
6,0.6864738076622361 , 0.5875
7,0.6841282251759186 , 0.571875
8,0.6661454261141517 , 0.59375
9,0.6591086786551994 , 0.5875
10,0.6591086786551994 , 0.590625
11,0.653635652853792 , 0.578125
12,0.6559812353401094 , 0.596875
13,0.656763096168882 , 0.5875
14,0.6450351837372947 , 0.590625
15,0.6387802971071149 , 0.590625
16,0.6356528537920251 , 0.571875
17,0.619233776387803 , 0.575
18,0.6278342455043002 , 0.5625
19,0.6278342455043002 , 0.5625
20,0.6278342455043002 , 0.5625